key,Location,date,humidity,temperature
-N5jTi1GM74gyPWQnf_T,Casa1DHT,1656506474.224981,51.00,22.60
-N5j__T8rHGBj96OmJiZ,Casa1DHT,1656508274.217458,51.00,22.70
-N5jgRvZ8sayA7ID5ZxS,Casa1DHT,1656510074.209522,51.00,22.70
-N5jnJNHAjzgmoauIIJq,Casa1DHT,1656511874.201674,51.00,22.80
-N5juAojg3gM7SDXuUi4,Casa1DHT,1656513674.191897,51.00,22.80
-N5k02GZ81rihSoevEt9,Casa1DHT,1656515474.180292,52.00,22.90
-N5k6uj2pO-nDxaD2oab,Casa1DHT,1656517274.172048,53.00,23.00
-N5kDmAXYVDMCNQouHL_,Casa1DHT,1656519074.167902,53.00,23.00
-N5kKdcLpKsZKI2ZRLKg,Casa1DHT,1656520874.156849,53.00,23.10
-N5kRW4dOE8942uNOc3k,Casa1DHT,1656522674.147205,53.00,23.10
-N5kYNXUfXuSdM1AjlFZ,Casa1DHT,1656524474.13656,51.00,23.10
-N5keEyygexfWpij65QO,Casa1DHT,1656526274.126355,51.00,23.10
-N5kl6QvOHoOvPKwQhwn,Casa1DHT,1656528074.117335,51.00,23.10
-N5krysby9hiXdQt0XMc,Casa1DHT,1656529874.106359,52.00,23.10
-N5kyqKcHfipwWPsfRZq,Casa1DHT,1656531674.091014,54.00,23.10
-N5l4hmAMwXEw0EYAYXY,Casa1DHT,1656533474.087985,55.00,23.10
-N5lB_EUZut41uCCl5rX,Casa1DHT,1656535274.077618,54.00,23.10
-N5lIRfuBP1a6JbNkRbq,Casa1DHT,1656537074.073187,53.00,23.00
-N5lPJ7lp7fxXoronhmX,Casa1DHT,1656538874.069428,53.00,23.00
-N5lWA_ckQcTXM8uq2H0,Casa1DHT,1656540674.055645,53.00,23.00
-N5lc21lyP1Uo4Wnu9Jl,Casa1DHT,1656542474.04292,53.00,23.00
-N5liuUOKoIfxFRcHE8F,Casa1DHT,1656544274.03519,52.00,23.00
-N5lplw9kuqBuAadK3Bg,Casa1DHT,1656546074.023732,53.00,22.90
-N5lwdOLNa-IRC_kuE1j,Casa1DHT,1656547874.014976,52.00,22.90
-N5m2Vph0c74TK5_4wBN,Casa1DHT,1656549674.003878,52.00,22.90
-N5m9NH2Q6LKrCwXRkz4,Casa1DHT,1656551473.992739,52.00,22.80
-N5mGEjGDrF6STLn8HJZ,Casa1DHT,1656553273.984904,51.00,22.80
-N5mN6AntR7KEcjxNjoD,Casa1DHT,1656555073.977966,51.00,22.80
-N5mTycmNz_lwugNq27Y,Casa1DHT,1656556873.968145,51.00,22.80
-N5m_q4_uxVzO0EaUJEy,Casa1DHT,1656558673.956838,51.00,22.80
-N5mghXG0GkBxFCCjuy1,Casa1DHT,1656560473.947173,51.00,22.70
-N5mnZziKEBgMlNemcAZ,Casa1DHT,1656562273.9385,50.00,22.70
-N5muRS10MLj4AWquRNS,Casa1DHT,1656564073.924722,50.00,22.70
-N5n0ItmNDUdMtFXYjaW,Casa1DHT,1656565873.919442,50.00,22.60
-N5n7ALVBCU9msOCyPVb,Casa1DHT,1656567673.910384,50.00,22.60
-N5nE1npOuWZoIWF66_p,Casa1DHT,1656569473.90094,50.00,22.60
